metric,S1_Random,S2_Center,S3_Tail,S4_MaxCoverage,S5_PrivacyAware,S6_Stratified
coverage_score,0.98438125,0.9620156249999999,0.9705375,0.993446875,0.985421875,0.9917156250000001
detection.detection_gmm.mean,0.4919212534075967,0.4723476897495998,0.4457618407908724,0.4826771392405715,0.44942014243267353,0.5007372419692824
detection.detection_linear.mean,0.5452086241844493,0.6948467444232412,0.8002525960075019,0.7078466744059244,0.7377789920361905,0.6391920683838364
detection.detection_xgb.mean,0.6929594080781111,0.819662548549045,0.8616662698782076,0.8045678669838846,0.8335256707243186,0.7482110005605798
mmd,0.00586875,0.05861875,0.128621875,0.07598125,0.082296875,0.031275
nn_identifiability,0.5720406250000001,0.364478125,0.80948125,0.782665625,0.7157156250000001,0.6703125000000001
prdc_precision,0.8037718750000001,0.8910125,0.7073687500000001,0.663440625,0.8185593750000001,0.767209375
prdc_recall,0.8661343749999999,0.77866875,0.663340625,0.8871562500000001,0.712209375,0.854509375
privacy.delta-presence.score,7.804965612119748,34.95423967541926,86.55294969624212,36.57282287425911,67.91314532450457,6.686810868276442
privacy.distinct l-diversity.gt,8.875,8.875,8.875,8.875,8.875,8.875
privacy.distinct l-diversity.syn,3.687500010000001,4.000000010000001,5.156250010000001,4.437500010000001,4.781250010000001,5.093750010000001
privacy.identifiability_score.,0.32833340355444685,0.3016479034645116,0.2559914716419033,0.30150048238056987,0.27646850479285956,0.3238825346013555
privacy.identifiability_score._privacy.identifiability_score.OC,0.31616428555910964,0.3242867748502524,0.262474975896492,0.2996356029728796,0.3065280536100878,0.3081120600294453
privacy.k-anonymization.gt,8.875,8.875,8.875,8.875,8.875,8.875
privacy.k-anonymization.syn,3.687500010000001,4.000000010000001,5.156250010000001,4.437500010000001,4.781250010000001,5.093750010000001
privacy.k-map.score,7.3125,9.375,5.0625,9.78125,7.09375,9.625
sanity.close_values_probability.score,0.7735337687763942,0.7651266218053834,0.6063020331160718,0.6729980692753278,0.643345979010005,0.7266847749153985
sanity.common_rows_proportion.score,0.011543949767869271,0.010825290573524948,0.004166666665277778,0.009374999996875,0.0104737442887647,0.008333333330555557
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0
sanity.distant_values_probability.score,0.030439019551525445,0.013042175394309052,0.062219584646091744,0.014576601198707502,0.025212321122755517,0.02060265151250562
sanity.nearest_syn_neighbor_distance.mean,0.13961237487775868,0.12763301815141798,0.24597669595489144,0.16799273517518812,0.18530772994401165,0.1553848292838916
stats.alpha_precision.authenticity_OC,0.4910519030709307,0.5186342326131393,0.6636252047084433,0.6364274546535017,0.59329165346317,0.5474195235418979
stats.alpha_precision.authenticity_naive,0.5424905395783639,0.5575667940752027,0.7970706069069627,0.6823079071073518,0.6941355579482804,0.541449902409742
stats.alpha_precision.delta_coverage_beta_OC,0.41752568047331773,0.4301055370018716,0.29322820631381113,0.3152423483185672,0.3409288547356162,0.3951826176388866
stats.alpha_precision.delta_coverage_beta_naive,0.44291889789008176,0.37683975652712765,0.23034592742261736,0.3020545889807443,0.29140977333357687,0.41661792376750595
stats.alpha_precision.delta_precision_alpha_OC,0.7548110945733157,0.7946473924482561,0.5974131502341493,0.6337345095769834,0.6246358902235707,0.7291492819501227
stats.alpha_precision.delta_precision_alpha_naive,0.905806288360954,0.8324004263346897,0.4936713681669274,0.6225421115890948,0.6258808220040081,0.8092495285780767
stats.inv_kl_divergence.marginal,0.8560826962130319,0.6901525131161962,0.7065182976159721,0.7877329052675052,0.7644990777328491,0.836733728343035
stats.jensenshannon_dist.marginal,0.010081236236539688,0.01725226818178506,0.027840126986861613,0.022558768371846866,0.022968153241130346,0.01684314212812855
stats.ks_test.marginal,0.8867421183081446,0.7753763265156693,0.6847444863143339,0.7452699156937224,0.7494798361939882,0.8154681333108533
stats.max_mean_discrepancy.joint,0.012714293207097972,0.01864046129453662,0.02387386239241303,0.015108824357321774,0.022418656301176426,0.016159415768041765
stats.prdc.coverage,0.7281826355717227,0.6117406913582388,0.5040964417985504,0.5882070093059351,0.5516330758759942,0.6763625503476464
stats.prdc.density,0.923955608861701,0.9925249198175667,0.8161829746179147,0.7979096898946461,0.862309233963646,0.890059354022608
stats.prdc.precision,0.9617096959646944,0.9731077914425148,0.9409232459721589,0.9334310666448147,0.9566444743748997,0.9516087407756324
stats.prdc.recall,0.9697925440737996,0.8541111238225136,0.8992490769801479,0.985039851647147,0.9741954751843612,0.9791886415794084
stats.wasserstein_dist.joint,0.5066073979251087,0.5092533179558814,0.5460693835048005,0.5166263709543273,0.5282684281701222,0.5147168497787789
performance.feat_rank_distance.corr_class,0.3280156442795836,0.20305478785625164,0.1971199922807567,0.1918729424193298,0.19332138140471397,0.27609226571231876
performance.feat_rank_distance.corr_reg,0.5305445527493987,0.4748208200746754,0.624364493405243,0.7618644934052429,0.6819821654739057,0.619741500069144
performance.feat_rank_distance.pvalue_class,0.10263892491816669,0.0886590116583791,0.1072097358880854,0.13021132079448738,0.11058796079500656,0.1733739792915868
performance.feat_rank_distance.pvalue_reg,0.10741025977224866,0.2775655963494276,0.0649694736606348,0.008246744078586887,0.03262047881662539,0.07828221507667342
performance.linear_model.gt_class,0.8814151078455157,0.8814151078455157,0.8814151078455157,0.8814151078455157,0.8814151078455157,0.8814151078455157
performance.linear_model.gt_reg,0.5939638320775591,0.5939638320775591,0.5939638320775591,0.5939638320775591,0.5939638320775591,0.5939638320775591
performance.linear_model.syn_id_class,0.8862882797809188,0.8681789650666296,0.8344903707927557,0.8573052409289273,0.854654439918059,0.8890473089169105
performance.linear_model.syn_id_reg,0.46635394360644716,-0.5276664758004023,0.32823130056496314,0.5429384874196315,0.5101217773352137,0.5816708021468113
performance.linear_model.syn_ood_class,0.8857316491298218,0.8659167836885856,0.8340259698170183,0.8563165548109759,0.8536301993422749,0.8890921950467559
performance.linear_model.syn_ood_reg,0.439718658292266,-0.5585287163410414,0.3149037135572234,0.5320158369501327,0.4972330606054475,0.5703373014308722
performance.mlp.gt_class,0.6861443407215471,0.6861443407215471,0.6861443407215471,0.6861443407215471,0.6861443407215471,0.6861443407215471
performance.mlp.gt_reg,-3097.2224824523364,-3097.2224824523364,-3097.2224824523364,-3097.2224824523364,-3097.2224824523364,-3097.2224824523364
performance.mlp.syn_id_class,0.6388446882543726,0.6576507846418077,0.5594246019247259,0.5729898746670564,0.6431016929328781,0.6611149658835096
performance.mlp.syn_id_reg,-2238.0061282242837,-18321.77305722711,-2287.849842330518,-3667.8399722191107,-5445.555325571448,-5476.221604140686
performance.mlp.syn_ood_class,0.6563299708970348,0.6663262273520657,0.5927173987115101,0.6070504709260891,0.6920895733337179,0.695379415444906
performance.mlp.syn_ood_reg,-1836.4883415170534,-8723.365602620996,-2088.908707425709,-3413.6620375418174,-5090.247740749842,-5147.781377556474
performance.xgb.gt_class,0.949051309050088,0.949051309050088,0.949051309050088,0.949051309050088,0.949051309050088,0.949051309050088
performance.xgb.gt_reg,0.7156528768685264,0.7156528768685264,0.7156528768685264,0.7156528768685264,0.7156528768685264,0.7156528768685264
performance.xgb.syn_id_class,0.9250429268872131,0.8996211398388291,0.8741116443868845,0.9106156952207337,0.8872146849512136,0.9236530149381648
performance.xgb.syn_id_reg,0.6443789613704172,0.11206799985267439,0.6462272586652055,0.6854008564230981,0.025210316401962696,0.5867887815093438
performance.xgb.syn_ood_class,0.9241243666319797,0.8979173017787657,0.8718873103041677,0.9101628395959801,0.8862109757670776,0.9229048994946089
performance.xgb.syn_ood_reg,0.6340624860272088,0.11511112530984807,0.6420829764213992,0.6662664816203882,0.10520951357673314,0.5721022581580631
